,hmmsearching_for,target_name,target_accession,query_name,query_accession,e-value,score,bias,best_domain_e-value,best_domain_score,best_domain_bias,exp,reg,clu,ov,env,dom,rep,inc,query_description,SAG
0,CrtY,lycopene_cycl,TIGR01789.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig236_2,-,1.7e-06,13.3,0.2,7.4e-05,7.9,0.0,2.2,2,0,0,2,2,2,2,JCVI: lycopene beta-cyclase CrtY,AM-685-N21
1,CrtY,lycopene_cycl,TIGR01789.1,AM-276-J22_AM-276-J22_contigs_AM-276-J22_NODE_2_15,-,3.2e-23,68.4,0.0,4.1e-23,68.0,0.0,1.1,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-276-J22
2,CrtY,lycopene_cycl,TIGR01789.1,AM-276-J22_AM-276-J22_contigs_AM-276-J22_NODE_53_2,-,2.1e-07,16.3,0.0,3e-07,15.8,0.0,1.2,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-276-J22
3,CrtY,lycopene_cycl,TIGR01789.1,AM-390-L10_AM-390-L10_contigs_AM-390-L10_NODE_5_24,-,2.2e-07,16.2,0.2,1.7e-05,10.1,0.1,2.2,2,0,0,2,2,2,2,JCVI: lycopene beta-cyclase CrtY,AM-390-L10
4,CrtY,lycopene_cycl,TIGR01789.1,AM-390-L10_AM-390-L10_contigs_AM-390-L10_NODE_7_13,-,3.1e-06,12.5,0.0,5.5e-06,11.7,0.0,1.4,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-390-L10
5,CrtY,lycopene_cycl,TIGR01789.1,AM-390-I08_AM-390-I08_contigs_AM-390-I08_NODE_42_1,-,6.3e-07,14.8,1.2,4.8e-06,11.9,0.3,2.0,2,0,0,2,2,2,2,JCVI: lycopene beta-cyclase CrtY,AM-390-I08
6,CrtY,lycopene_cycl,TIGR01789.1,AM-390-I08_AM-390-I08_contigs_AM-390-I08_NODE_46_2,-,2.2e-07,16.2,0.2,1.7e-05,10.1,0.1,2.2,2,0,0,2,2,2,2,JCVI: lycopene beta-cyclase CrtY,AM-390-I08
7,CrtY,lycopene_cycl,TIGR01789.1,AM-390-L11_AM-390-L11_contigs_AM-390-L11_NODE_2_40,-,1.8e-06,13.2,1.1,9e-06,11.0,0.3,2.0,2,0,0,2,2,2,1,JCVI: lycopene beta-cyclase CrtY,AM-390-L11
8,CrtY,lycopene_cycl,TIGR01789.1,AM-390-L11_AM-390-L11_contigs_AM-390-L11_NODE_13_20,-,2.2e-07,16.2,0.2,1.7e-05,10.1,0.1,2.2,2,0,0,2,2,2,2,JCVI: lycopene beta-cyclase CrtY,AM-390-L11
9,CrtY,lycopene_cycl,TIGR01789.1,AM-390-L11_AM-390-L11_contigs_AM-390-L11_NODE_16_12,-,3.1e-06,12.5,0.0,5.5e-06,11.7,0.0,1.4,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-390-L11
10,CrtY,lycopene_cycl,TIGR01789.1,AM-390-L11_AM-390-L11_contigs_AM-390-L11_NODE_53_4,-,8.5e-07,14.3,0.1,1.1e-05,10.7,0.0,2.0,2,0,0,2,2,2,2,JCVI: lycopene beta-cyclase CrtY,AM-390-L11
11,CrtY,lycopene_cycl,TIGR01789.1,AM-332-C18_AM-332-C18_contigs_AM-332-C18_NODE_2_33,-,2.7e-08,19.3,0.1,9.4e-08,17.5,0.1,1.8,2,0,0,2,2,2,1,JCVI: lycopene beta-cyclase CrtY,AM-332-C18
12,CrtY,lycopene_cycl,TIGR01789.1,AM-332-C18_AM-332-C18_contigs_AM-332-C18_NODE_4_43,-,3.5e-07,15.6,0.0,5.9e-07,14.9,0.0,1.3,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-332-C18
13,CrtY,lycopene_cycl,TIGR01789.1,AM-332-C18_AM-332-C18_contigs_AM-332-C18_NODE_5_32,-,4.5e-07,15.2,0.0,7.8e-07,14.5,0.0,1.4,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-332-C18
14,CrtY,lycopene_cycl,TIGR01789.1,AM-235-C15_AM-235-C15_contigs_AM-235-C15_NODE_1_66,-,1.4e-06,13.6,0.1,2e-06,13.1,0.1,1.2,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-235-C15
15,CrtY,lycopene_cycl,TIGR01789.1,AM-235-C15_AM-235-C15_contigs_AM-235-C15_NODE_4_17,-,3.1e-06,12.5,0.0,4.5e-06,11.9,0.0,1.2,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-235-C15
16,CrtY,lycopene_cycl,TIGR01789.1,AM-235-C15_AM-235-C15_contigs_AM-235-C15_NODE_18_4,-,4.6e-06,11.9,0.0,1.1e-05,10.6,0.0,1.7,2,0,0,2,2,2,1,JCVI: lycopene beta-cyclase CrtY,AM-235-C15
17,CrtY,lycopene_cycl,TIGR01789.1,AM-229-B10_AM-229-B10_contigs_AM-229-B10_NODE_7_9,-,1.5e-06,13.5,0.1,4.4e-06,12.0,0.0,1.7,2,0,0,2,2,2,1,JCVI: lycopene beta-cyclase CrtY,AM-229-B10
18,CrtY,lycopene_cycl,TIGR01789.1,AH-613-O14_AH-613-O14_contigs_AH-613-O14_NODE_9_3,-,1.5e-06,13.5,0.0,2.6e-06,12.8,0.0,1.3,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AH-613-O14
19,CrtY,lycopene_cycl,TIGR01789.1,AH-613-O14_AH-613-O14_contigs_AH-613-O14_NODE_30_1,-,1e-05,10.8,0.1,1.1e-05,10.7,0.1,1.0,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AH-613-O14
20,CrtY,lycopene_cycl,TIGR01789.1,AH-613-M18_AH-613-M18_contigs_AH-613-M18_NODE_6_4,-,1.4e-06,13.6,0.1,4.3e-06,12.0,0.0,1.7,2,0,0,2,2,2,1,JCVI: lycopene beta-cyclase CrtY,AH-613-M18
21,CrtY,lycopene_cycl,TIGR01789.1,AH-613-M18_AH-613-M18_contigs_AH-613-M18_NODE_39_4,-,1.9e-06,13.1,1.0,4.4e-05,8.7,0.1,2.5,2,1,1,3,3,3,2,JCVI: lycopene beta-cyclase CrtY,AH-613-M18
22,CrtY,lycopene_cycl,TIGR01789.1,AH-982-J08_AH-982-J08_contigs_AH-982-J08_NODE_1_26,-,1.5e-06,13.5,1.1,4.4e-05,8.7,0.1,2.6,2,1,1,3,3,3,2,JCVI: lycopene beta-cyclase CrtY,AH-982-J08
23,CrtY,lycopene_cycl,TIGR01789.1,AM-229-F05_AM-229-F05_contigs_AM-229-F05_NODE_1_23,-,1.5e-06,13.5,0.1,4.4e-06,12.0,0.0,1.7,2,0,0,2,2,2,1,JCVI: lycopene beta-cyclase CrtY,AM-229-F05
24,CrtY,lycopene_cycl,TIGR01789.1,AM-229-F05_AM-229-F05_contigs_AM-229-F05_NODE_12_20,-,3.1e-06,12.5,0.0,5.1e-06,11.8,0.0,1.3,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-229-F05
25,CrtY,lycopene_cycl,TIGR01789.1,AH-613-J13_AH-613-J13_contigs_AH-613-J13_NODE_3_19,-,1.4e-06,13.6,0.1,4.3e-06,12.0,0.0,1.7,2,0,0,2,2,2,1,JCVI: lycopene beta-cyclase CrtY,AH-613-J13
26,CrtY,lycopene_cycl,TIGR01789.1,AH-613-J13_AH-613-J13_contigs_AH-613-J13_NODE_39_6,-,4.3e-07,15.3,0.1,1.1e-06,14.0,0.0,1.6,2,0,0,2,2,2,1,JCVI: lycopene beta-cyclase CrtY,AH-613-J13
27,CrtY,lycopene_cycl,TIGR01789.1,AH-613-J13_AH-613-J13_contigs_AH-613-J13_NODE_56_1,-,3.7e-06,12.2,0.0,4.2e-06,12.0,0.0,1.2,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AH-613-J13
28,CrtY,lycopene_cycl,TIGR01789.1,AM-388-D06_AM-388-D06_contigs_AM-388-D06_NODE_12_19,-,1.1e-05,10.7,0.3,0.00074,4.6,0.1,2.2,2,0,0,2,2,2,2,JCVI: lycopene beta-cyclase CrtY,AM-388-D06
29,CrtY,lycopene_cycl,TIGR01789.1,AM-390-K03_AM-390-K03_contigs_AM-390-K03_NODE_14_19,-,2.3e-08,19.5,0.3,3.4e-08,18.9,0.3,1.2,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-390-K03
30,CrtY,lycopene_cycl,TIGR01789.1,AM-390-O23_AM-390-O23_contigs_AM-390-O23_NODE_10_12,-,2.2e-06,13.0,0.0,3.1e-06,12.5,0.0,1.2,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-390-O23
31,CrtY,lycopene_cycl,TIGR01789.1,AM-390-O23_AM-390-O23_contigs_AM-390-O23_NODE_15_5,-,2e-07,16.4,0.0,3.1e-07,15.8,0.0,1.3,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-390-O23
32,CrtY,lycopene_cycl,TIGR01789.1,AM-388-M09_AM-388-M09_contigs_AM-388-M09_NODE_1_79,-,1.9e-06,13.2,0.0,2.6e-06,12.7,0.0,1.2,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-388-M09
33,CrtY,lycopene_cycl,TIGR01789.1,AM-388-M09_AM-388-M09_contigs_AM-388-M09_NODE_7_9,-,2e-07,16.4,0.0,3.1e-07,15.8,0.0,1.3,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-388-M09
34,CrtY,lycopene_cycl,TIGR01789.1,AM-388-I02_AM-388-I02_contigs_AM-388-I02_NODE_2_12,-,2.2e-06,13.0,0.0,3.1e-06,12.5,0.0,1.2,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-388-I02
35,CrtY,lycopene_cycl,TIGR01789.1,AM-388-O19_AM-388-O19_contigs_AM-388-O19_NODE_8_18,-,1.1e-05,10.7,0.3,0.00074,4.6,0.1,2.2,2,0,0,2,2,2,2,JCVI: lycopene beta-cyclase CrtY,AM-388-O19
36,CrtY,lycopene_cycl,TIGR01789.1,AM-390-A03_AM-390-A03_contigs_AM-390-A03_NODE_27_3,-,1.1e-05,10.7,0.3,0.00074,4.6,0.1,2.2,2,0,0,2,2,2,2,JCVI: lycopene beta-cyclase CrtY,AM-390-A03
37,CrtY,lycopene_cycl,TIGR01789.1,AM-388-D08_AM-388-D08_contigs_AM-388-D08_NODE_105_3,-,4.2e-06,12.0,0.0,5.6e-06,11.6,0.0,1.2,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-388-D08
38,CrtY,lycopene_cycl,TIGR01789.1,AM-388-D13_AM-388-D13_contigs_AM-388-D13_NODE_48_2,-,1.8e-06,13.3,0.0,3.5e-06,12.3,0.0,1.4,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-388-D13
39,CrtY,lycopene_cycl,TIGR01789.1,AM-388-M10_AM-388-M10_contigs_AM-388-M10_NODE_1_40,-,2.3e-06,12.9,5.5,1.8e-05,9.9,0.9,2.9,2,1,1,3,3,3,2,JCVI: lycopene beta-cyclase CrtY,AM-388-M10
40,CrtY,lycopene_cycl,TIGR01789.1,AM-388-O20_AM-388-O20_contigs_AM-388-O20_NODE_1_116,-,1.1e-05,10.7,0.0,1.8e-05,10.0,0.0,1.3,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-388-O20
41,CrtY,lycopene_cycl,TIGR01789.1,AH-611-N07_AH-611-N07_contigs_AH-611-N07_NODE_10_49,-,6e-17,47.7,0.0,1.1e-16,46.9,0.0,1.5,1,1,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AH-611-N07
42,CrtY,lycopene_cycl,TIGR01789.1,AH-470-I08_AH-470-I08_contigs_AH-470-I08_NODE_14_9,-,3.2e-15,42.1,0.0,2.4e-14,39.2,0.0,1.9,2,0,0,2,2,2,2,JCVI: lycopene beta-cyclase CrtY,AH-470-I08
43,CrtY,lycopene_cycl,TIGR01789.1,AM-685-M09_AM-685-M09_contigs_SCGC_AM-685-M09_contig25_6,-,2.2e-20,59.0,0.0,2.9e-20,58.7,0.0,1.1,1,0,0,1,1,1,1,JCVI: lycopene beta-cyclase CrtY,AM-685-M09
