,hmmsearching_for,target_name,target_accession,query_name,query_accession,e-value,score,bias,best_domain_e-value,best_domain_score,best_domain_bias,exp,reg,clu,ov,env,dom,rep,inc,query_description,SAG
0,CrtB,Phyto_syn_CrtB,NF042419.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig122_4,-,1.3e-11,30.5,0.1,1.8e-11,30.1,0.1,1.3,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-685-N21
1,CrtB,Phyto_syn_CrtB,NF042419.1,AH-613-D20_AH-613-D20_contigs_AH-613-D20_NODE_17_14,-,8.6e-09,21.3,0.0,1.4e-08,20.6,0.0,1.3,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-613-D20
2,CrtB,Phyto_syn_CrtB,NF042419.1,AM-276-J22_AM-276-J22_contigs_AM-276-J22_NODE_2_14,-,1.1e-46,145.7,0.0,1.4e-45,142.1,0.0,1.9,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-276-J22
3,CrtB,Phyto_syn_CrtB,NF042419.1,AH-473-P19_AH-473-P19_contigs_AH-473-P19_NODE_4_21,-,1.5e-19,56.6,0.0,9.7e-18,50.7,0.0,2.2,2,0,0,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-473-P19
4,CrtB,Phyto_syn_CrtB,NF042419.1,AH-473-P19_AH-473-P19_contigs_AH-473-P19_NODE_4_22,-,4.9e-36,110.8,0.0,4.3e-31,94.5,0.0,2.1,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-473-P19
5,CrtB,Phyto_syn_CrtB,NF042419.1,AH-473-P19_AH-473-P19_contigs_AH-473-P19_NODE_22_4,-,1.8e-27,82.7,0.0,1e-20,60.4,0.0,2.1,1,1,1,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-473-P19
6,CrtB,Phyto_syn_CrtB,NF042419.1,AM-390-G15_AM-390-G15_contigs_AM-390-G15_NODE_56_1,-,1.7e-13,36.8,0.2,1.1e-12,34.1,0.1,2.1,2,0,0,2,2,2,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-390-G15
7,CrtB,Phyto_syn_CrtB,NF042419.1,AH-611-J11_AH-611-J11_contigs_AH-611-J11_NODE_3_13,-,2.5e-15,42.8,0.2,1.3e-14,40.4,0.2,1.9,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-611-J11
8,CrtB,Phyto_syn_CrtB,NF042419.1,AM-388-N06_AM-388-N06_contigs_AM-388-N06_NODE_24_10,-,7.4e-31,93.8,0.1,1e-30,93.3,0.1,1.1,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-388-N06
9,CrtB,Phyto_syn_CrtB,NF042419.1,AM-390-K03_AM-390-K03_contigs_AM-390-K03_NODE_7_36,-,7.4e-31,93.8,0.1,1e-30,93.3,0.1,1.1,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-390-K03
10,CrtB,Phyto_syn_CrtB,NF042419.1,AM-390-O23_AM-390-O23_contigs_AM-390-O23_NODE_3_4,-,7.8e-31,93.7,0.1,1.2e-30,93.1,0.1,1.2,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-390-O23
11,CrtB,Phyto_syn_CrtB,NF042419.1,AM-388-M09_AM-388-M09_contigs_AM-388-M09_NODE_5_56,-,4.4e-30,91.2,0.1,6.8e-30,90.6,0.1,1.2,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-388-M09
12,CrtB,Phyto_syn_CrtB,NF042419.1,AM-390-G11_AM-390-G11_contigs_AM-390-G11_NODE_12_25,-,8.4e-31,93.6,0.1,1.2e-30,93.1,0.1,1.1,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-390-G11
13,CrtB,Phyto_syn_CrtB,NF042419.1,AM-388-I02_AM-388-I02_contigs_AM-388-I02_NODE_8_20,-,7.8e-31,93.7,0.1,1.2e-30,93.1,0.1,1.2,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-388-I02
14,CrtB,Phyto_syn_CrtB,NF042419.1,AM-390-A03_AM-390-A03_contigs_AM-390-A03_NODE_10_22,-,5.6e-31,94.2,0.1,7.7e-31,93.7,0.1,1.1,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-390-A03
15,CrtB,Phyto_syn_CrtB,NF042419.1,AM-388-O20_AM-388-O20_contigs_AM-388-O20_NODE_8_40,-,4.9e-14,38.5,0.1,6.7e-14,38.1,0.1,1.1,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-388-O20
16,CrtB,Phyto_syn_CrtB,NF042419.1,AH-302-J23_AH-302-J23_contigs_AH-302-J23_NODE_21_1,-,1.8e-15,43.2,0.0,2.8e-15,42.6,0.0,1.5,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-302-J23
17,CrtB,Phyto_syn_CrtB,NF042419.1,AH-611-N07_AH-611-N07_contigs_AH-611-N07_NODE_32_3,-,1.8e-16,46.5,0.0,7e-16,44.6,0.0,1.9,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-611-N07
18,CrtB,Phyto_syn_CrtB,NF042419.1,AM-243-M17_AM-243-M17_contigs_AM-243-M17_NODE_6_12,-,2e-20,59.5,0.0,1.6e-19,56.6,0.0,2.0,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-243-M17
19,CrtB,Phyto_syn_CrtB,NF042419.1,AM-685-M09_AM-685-M09_contigs_SCGC_AM-685-M09_contig1_23,-,5.5e-21,61.3,0.0,7.3e-20,57.7,0.0,2.1,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-685-M09
20,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-D22_AM-332-D22_contigs_AM-332-D22_NODE_15_35,-,2.7e-19,55.8,0.1,1.7e-18,53.2,0.1,1.9,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-D22
21,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-I09_AM-332-I09_contigs_AM-332-I09_NODE_1_53,-,6.5e-17,48.0,0.0,6.1e-16,44.8,0.0,2.0,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-I09
22,CrtB,Phyto_syn_CrtB,NF042419.1,AH-982-G15_AH-982-G15_contigs_AH-982-G15_NODE_27_10,-,3.2e-18,52.3,0.0,7.1e-18,51.1,0.0,1.7,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-982-G15
23,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-F17_AM-332-F17_contigs_AM-332-F17_NODE_14_3,-,1.9e-18,53.0,0.0,2.4e-18,52.7,0.0,1.3,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-F17
24,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-J20_AM-332-J20_contigs_AM-332-J20_NODE_5_47,-,1.1e-16,47.2,0.0,1.1e-15,43.9,0.0,2.0,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-J20
25,CrtB,Phyto_syn_CrtB,NF042419.1,AM-332-I17_AM-332-I17_contigs_AM-332-I17_NODE_15_14,-,1.1e-49,155.6,0.0,1.3e-49,155.3,0.0,1.0,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-332-I17
26,CrtB,Phyto_syn_CrtB,NF042419.1,AM-685-I13_AM-685-I13_contigs_SCGC_AM-685-I13_contig46_4,-,1e-10,27.6,0.1,2.6e-10,26.3,0.0,1.6,2,0,0,2,2,2,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-685-I13
27,CrtB,Phyto_syn_CrtB,NF042419.1,AM-685-I13_AM-685-I13_contigs_SCGC_AM-685-I13_contig96_11,-,8.8e-08,18.0,0.6,6.2e-06,11.9,0.0,2.1,2,0,0,2,2,2,2,NCBIFAM: 15-cis-phytoene synthase CrtB,AM-685-I13
28,CrtB,Phyto_syn_CrtB,NF042419.1,AH-611-N13_AH-611-N13_contigs_AH-611-N13_NODE_1_57,-,5.4e-16,45.0,0.0,1.2e-15,43.8,0.1,1.4,2,0,0,2,2,2,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-611-N13
29,CrtB,Phyto_syn_CrtB,NF042419.1,AH-611-N13_AH-611-N13_contigs_AH-611-N13_NODE_5_110,-,9.9e-40,122.9,0.3,1.3e-39,122.5,0.3,1.1,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-611-N13
30,CrtB,Phyto_syn_CrtB,NF042419.1,AH-613-E18_AH-613-E18_contigs_AH-613-E18_NODE_1_50,-,6.7e-06,11.8,0.0,7.7e-06,11.6,0.0,1.2,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-613-E18
31,CrtB,Phyto_syn_CrtB,NF042419.1,AH-613-E18_AH-613-E18_contigs_AH-613-E18_NODE_11_37,-,2.5e-35,108.5,0.5,3.4e-35,108.0,0.5,1.1,1,0,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-613-E18
32,CrtB,Phyto_syn_CrtB,NF042419.1,AH-613-E18_AH-613-E18_contigs_AH-613-E18_NODE_11_38,-,3e-19,55.7,0.0,6.6e-19,54.5,0.0,1.4,1,1,0,1,1,1,1,NCBIFAM: 15-cis-phytoene synthase CrtB,AH-613-E18
