,hmmsearching_for,target_name,target_accession,query_name,query_accession,e-value,score,bias,best_domain_e-value,best_domain_score,best_domain_bias,exp,reg,clu,ov,env,dom,rep,inc,query_description,SAG
0,flotillin,Flotillin_HMM,-,AM-276-J22_AM-276-J22_contigs_AM-276-J22_NODE_12_4,-,1.9e-08,18.9,0.2,2.2e-08,18.7,0.2,1.0,1,0,0,1,1,1,1,-,AM-276-J22
2,flotillin,Flotillin_HMM,-,AH-470-K14_AH-470-K14_contigs_AH-470-K14_NODE_1_33,-,1.5e-07,15.9,0.3,1.5e-07,15.9,0.3,2.0,1,1,1,2,2,2,2,-,AH-470-K14
3,flotillin,Flotillin_HMM,-,AM-201-C09_AM-201-C09_contigs_AM-201-C09_NODE_10_9,-,0,1167.6,49.3,0,1167.3,49.3,1.0,1,0,0,1,1,1,1,-,AM-201-C09
4,flotillin,Flotillin_HMM,-,AM-257-D13_AM-257-D13_contigs_AM-257-D13_NODE_4_28,-,0,1160.8,47.4,0,1160.6,47.4,1.0,1,0,0,1,1,1,1,-,AM-257-D13
5,flotillin,Flotillin_HMM,-,AM-206-A16_AM-206-A16_contigs_AM-206-A16_NODE_4_10,-,0,1172.8,49.1,0,1172.5,49.1,1.0,1,0,0,1,1,1,1,-,AM-206-A16
6,flotillin,Flotillin_HMM,-,AM-225-L22_AM-225-L22_contigs_AM-225-L22_NODE_14_13,-,5.2e-145,470.1,23.8,6.1e-145,469.9,23.8,1.0,1,0,0,1,1,1,1,-,AM-225-L22
7,flotillin,Flotillin_HMM,-,AM-225-L22_AM-225-L22_contigs_AM-225-L22_NODE_36_1,-,2.3e-177,577.0,12.2,2.5e-177,576.9,12.2,1.0,1,0,0,1,1,1,1,-,AM-225-L22
8,flotillin,Flotillin_HMM,-,AM-332-P10_AM-332-P10_contigs_AM-332-P10_NODE_15_2,-,0,1170.2,48.4,0,1169.9,48.4,1.0,1,0,0,1,1,1,1,-,AM-332-P10
9,flotillin,Flotillin_HMM,-,AM-216-L20_AM-216-L20_contigs_AM-216-L20_NODE_6_15,-,0,1167.9,49.4,0,1167.7,49.4,1.0,1,0,0,1,1,1,1,-,AM-216-L20
10,flotillin,Flotillin_HMM,-,AM-121-O06_AM-121-O06_contigs_AM-121-O06_NODE_8_11,-,0,1160.8,47.4,0,1160.6,47.4,1.0,1,0,0,1,1,1,1,-,AM-121-O06
11,flotillin,Flotillin_HMM,-,AH-735-J15_AH-735-J15_contigs_AH-735-J15_NODE_1_95,-,0,1171.1,50.4,0,1170.8,50.4,1.0,1,0,0,1,1,1,1,-,AH-735-J15
12,flotillin,Flotillin_HMM,-,AH-888-D21_AH-888-D21_contigs_AH-888-D21_NODE_10_13,-,0,1160.2,51.9,0,1160.1,51.9,1.0,1,0,0,1,1,1,1,-,AH-888-D21
13,flotillin,Flotillin_HMM,-,AM-208-I08_AM-208-I08_contigs_AM-208-I08_NODE_10_12,-,0,1173.8,48.6,0,1173.5,48.6,1.0,1,0,0,1,1,1,1,-,AM-208-I08
14,flotillin,Flotillin_HMM,-,AM-257-M21_AM-257-M21_contigs_AM-257-M21_NODE_13_8,-,0,1160.8,47.4,0,1160.6,47.4,1.0,1,0,0,1,1,1,1,-,AM-257-M21
15,flotillin,Flotillin_HMM,-,AM-118-A22_AM-118-A22_contigs_AM-118-A22_NODE_18_1,-,4.4e-118,381.2,12.4,4.8e-118,381.0,12.4,1.0,1,0,0,1,1,1,1,-,AM-118-A22
16,flotillin,Flotillin_HMM,-,AM-118-A22_AM-118-A22_contigs_AM-118-A22_NODE_47_1,-,2.1e-162,527.6,3.8,2.3e-162,527.4,3.8,1.0,1,0,0,1,1,1,1,-,AM-118-A22
17,flotillin,Flotillin_HMM,-,AH-735-B20_AH-735-B20_contigs_AH-735-B20_NODE_9_21,-,0,1145.9,52.7,0,1145.6,52.7,1.0,1,0,0,1,1,1,1,-,AH-735-B20
18,flotillin,Flotillin_HMM,-,AM-121-F11_AM-121-F11_contigs_AM-121-F11_NODE_4_14,-,0,1162.9,47.2,0,1162.7,47.2,1.0,1,0,0,1,1,1,1,-,AM-121-F11
19,flotillin,Flotillin_HMM,-,AM-164-M16_AM-164-M16_contigs_AM-164-M16_NODE_4_17,-,0,1167.9,49.0,0,1167.6,49.0,1.0,1,0,0,1,1,1,1,-,AM-164-M16
20,flotillin,Flotillin_HMM,-,AM-216-E15_AM-216-E15_contigs_AM-216-E15_NODE_13_10,-,0,1167.0,50.8,0,1166.8,50.8,1.0,1,0,0,1,1,1,1,-,AM-216-E15
21,flotillin,Flotillin_HMM,-,AM-187-I16_AM-187-I16_contigs_AM-187-I16_NODE_12_9,-,0,1171.3,48.8,0,1171.0,48.8,1.0,1,0,0,1,1,1,1,-,AM-187-I16
22,flotillin,Flotillin_HMM,-,AM-264-M02_AM-264-M02_contigs_AM-264-M02_NODE_3_20,-,0,1174.3,48.9,0,1174.0,48.9,1.0,1,0,0,1,1,1,1,-,AM-264-M02
23,flotillin,Flotillin_HMM,-,AM-216-L09_AM-216-L09_contigs_AM-216-L09_NODE_4_16,-,0,1164.8,50.4,0,1164.5,50.4,1.0,1,0,0,1,1,1,1,-,AM-216-L09
24,flotillin,Flotillin_HMM,-,AM-138-I02_AM-138-I02_contigs_AM-138-I02_NODE_13_15,-,0,1176.3,49.7,0,1176.0,49.7,1.0,1,0,0,1,1,1,1,-,AM-138-I02
25,flotillin,Flotillin_HMM,-,AM-216-D06_AM-216-D06_contigs_AM-216-D06_NODE_13_4,-,0,1151.3,52.1,0,1151.1,52.1,1.0,1,0,0,1,1,1,1,-,AM-216-D06
26,flotillin,Flotillin_HMM,-,AM-225-G23_AM-225-G23_contigs_AM-225-G23_NODE_2_10,-,0,1174.6,51.5,0,1174.4,51.5,1.0,1,0,0,1,1,1,1,-,AM-225-G23
27,flotillin,Flotillin_HMM,-,AM-184-G17_AM-184-G17_contigs_AM-184-G17_NODE_18_18,-,0,1174.2,48.7,0,1173.9,48.7,1.0,1,0,0,1,1,1,1,-,AM-184-G17
