gene_id,description,descr_score,best_score,pfam_acc
AG-538-A02_NODE_4_3,Reverse transcriptase domain-containing protein,148,440,
AG-538-A02_NODE_4_5,Inner-membrane translocator,513,513,
AG-538-A02_NODE_4_7,SCP-2 sterol transfer family protein,710,773,
AG-538-A02_NODE_4_12,Transmembrane protein 230,86,86,PF05915
AG-538-A02_NODE_4_19,Arc family DNA-binding protein,100,191,
AG-538-A02_NODE_4_21,DUF2953 domain-containing protein,133,376,
AG-538-A02_NODE_4_22,Imelysin-like domain-containing protein,597,597,
AG-538-A02_NODE_4_25,Segregation protein B,242,264,
AG-538-B18_NODE_3_3,Winged helix DNA-binding domain-containing protein,512,567,
AG-538-B18_NODE_3_6,MORN repeat protein,731,731,PF02493
AG-538-B18_NODE_3_7,G-patch domain-containing protein,86,100,
AG-538-B18_NODE_3_18,SCP2 domain-containing protein,703,768,
AG-538-B18_NODE_3_20,Putative histone deacetylase 4,105,105,
AG-538-B18_NODE_3_22,P-type ATPase N-terminal domain-containing protein,146,156,
AG-538-C05_NODE_1_4,Imelysin-like domain-containing protein,614,614,
AG-538-C05_NODE_1_7,N-acetylmuramoyl-L-alanine amidase family protein,141,415,
AG-538-C05_NODE_1_9,ERF family protein (ERF superfamily protein),102,215,
AG-538-C05_NODE_1_16,SWIM-type domain-containing protein,75,75,"PF03108,PF04434,PF04321"
AG-538-C05_NODE_1_21,SCP2 domain-containing protein,717,796,
AG-538-C05_NODE_1_23,Inner-membrane translocator,294,294,
AG-538-C05_NODE_1_25,Reverse transcriptase domain-containing protein,143,436,
AG-538-C05_NODE_1_33,TolC family type I secretion outer membrane protein,1550,1550,PF02321
AG-538-D18_NODE_2_15,Uncharacterized protein YegP (UPF0339 family),142,144,
AG-538-D18_NODE_2_16,Reverse transcriptase domain-containing protein,171,171,
AG-538-D22_NODE_1_2,ABC transporter ATP-binding protein,263,271,
AG-538-D22_NODE_1_16,MFS transporter,1959,1959,PF07690
AG-538-D22_NODE_1_28,DUF1468 domain-containing protein,596,596,PF07331
AG-538-D22_NODE_1_34,ArpA protein,1359,1372,
AG-538-D22_NODE_1_36,HD domain-containing protein,1008,1008,PF01966
AG-538-D22_NODE_1_42,SCP2 domain-containing protein,705,751,
AG-538-D22_NODE_1_44,Putative receptor-like protein kinase,143,162,
AG-538-D22_NODE_1_46,RING/U-box superfamily protein,140,470,
AG-538-D22_NODE_1_52,ANTAR domain-containing protein,91,223,
AG-538-F05_NODE_22_3,SCP2 domain-containing protein,705,755,
AG-538-G09_NODE_17_10,Glycosyl transferase,1630,1630,PF00535
AG-538-G20_NODE_5_11,HD domain-containing protein,1023,1023,PF01966
AG-538-G20_NODE_5_18,SCP2 domain-containing protein,718,754,
AG-538-G20_NODE_5_20,"Transmembrane protein, putative",153,166,
AG-538-G20_NODE_5_22,Uncharacterized protein LOC115481856,140,452,
AG-538-G20_NODE_5_27,Imelysin-like domain-containing protein,442,683,
AG-538-G20_NODE_5_28,YHS domain-containing protein,362,402,
AG-538-I10_NODE_4_2,RxLR effector candidate protein,129,141,
AG-538-I10_NODE_4_3,Protein root UVB sensitive/RUS domain-containing protein,85,489,
AG-538-I10_NODE_4_28,HicB-like antitoxin of toxin-antitoxin system domain-containing protein,139,414,
AG-538-I10_NODE_4_30,Inner-membrane translocator,316,316,
AG-538-I10_NODE_4_32,SCP-2 sterol transfer family protein,701,762,
