,hmmsearching_for,target_name,target_accession,query_name,query_accession,e-value,score,bias,best_domain_e-value,best_domain_score,best_domain_bias,exp,reg,clu,ov,env,dom,rep,inc,query_description,SAG
0,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig3_9,-,3e-20,58.3,0.1,4.1e-12,31.4,0.0,2.2,2,0,0,2,2,2,2,JCVI: phytoene desaturase family protein,AM-685-N21
1,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig3_17,-,2.4e-07,15.7,0.1,6.2e-07,14.4,0.0,1.7,2,0,0,2,2,2,1,JCVI: phytoene desaturase family protein,AM-685-N21
2,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig4_11,-,2.7e-09,22.2,0.4,6.4e-08,17.6,0.2,2.0,2,0,0,2,2,2,2,JCVI: phytoene desaturase family protein,AM-685-N21
3,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig10_7,-,4e-09,21.6,1.4,1.4e-07,16.5,0.3,2.1,2,0,0,2,2,2,2,JCVI: phytoene desaturase family protein,AM-685-N21
4,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig11_3,-,7.7e-16,43.7,0.4,9e-10,23.7,0.3,2.2,2,0,0,2,2,2,2,JCVI: phytoene desaturase family protein,AM-685-N21
5,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig11_5,-,1.1e-09,23.4,0.1,1.6e-09,22.9,0.1,1.2,1,0,0,1,1,1,1,JCVI: phytoene desaturase family protein,AM-685-N21
6,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig11_6,-,1.2e-11,29.9,0.0,1.7e-11,29.4,0.0,1.2,1,0,0,1,1,1,1,JCVI: phytoene desaturase family protein,AM-685-N21
7,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig11_9,-,1.1e-16,46.6,0.3,5.5e-10,24.4,0.4,2.3,2,0,0,2,2,2,2,JCVI: phytoene desaturase family protein,AM-685-N21
8,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig11_17,-,5.3e-17,47.6,0.2,2.5e-10,25.5,0.0,2.2,2,0,0,2,2,2,2,JCVI: phytoene desaturase family protein,AM-685-N21
9,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig17_7,-,1.3e-08,19.9,0.3,2.8e-08,18.8,0.3,1.5,1,0,0,1,1,1,1,JCVI: phytoene desaturase family protein,AM-685-N21
10,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig17_12,-,4.6e-08,18.1,0.9,7e-08,17.5,0.9,1.2,1,0,0,1,1,1,1,JCVI: phytoene desaturase family protein,AM-685-N21
11,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig22_5,-,2.1e-06,12.6,0.0,3.4e-06,11.9,0.0,1.2,1,0,0,1,1,1,1,JCVI: phytoene desaturase family protein,AM-685-N21
12,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig24_11,-,3.8e-11,28.3,0.0,6e-11,27.6,0.0,1.3,1,0,0,1,1,1,1,JCVI: phytoene desaturase family protein,AM-685-N21
13,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig33_1,-,2.5e-10,25.6,0.2,4e-10,24.9,0.2,1.2,1,0,0,1,1,1,1,JCVI: phytoene desaturase family protein,AM-685-N21
14,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig36_17,-,1.5e-06,13.1,0.3,7.9e-06,10.7,0.0,2.0,2,0,0,2,2,2,1,JCVI: phytoene desaturase family protein,AM-685-N21
15,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig75_12,-,4.2e-08,18.2,4.8,9.3e-06,10.5,4.1,2.2,2,0,0,2,2,2,2,JCVI: phytoene desaturase family protein,AM-685-N21
16,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig114_2,-,1.7e-07,16.2,0.1,3.5e-07,15.2,0.1,1.5,1,0,0,1,1,1,1,JCVI: phytoene desaturase family protein,AM-685-N21
17,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig133_1,-,5.5e-06,11.2,0.0,2.2e-05,9.3,0.0,1.8,2,0,0,2,2,2,1,JCVI: phytoene desaturase family protein,AM-685-N21
18,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig133_2,-,1.7e-07,16.2,0.7,3.7e-07,15.1,0.7,1.5,1,0,0,1,1,1,1,JCVI: phytoene desaturase family protein,AM-685-N21
19,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig161_1,-,4.6e-07,14.8,0.0,2.6e-05,9.0,0.2,2.1,2,0,0,2,2,2,2,JCVI: phytoene desaturase family protein,AM-685-N21
20,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig196_1,-,5.3e-18,50.9,10.7,3.9e-09,21.6,0.4,3.4,4,0,0,4,4,4,3,JCVI: phytoene desaturase family protein,AM-685-N21
21,CrtI,crtI_fam,TIGR02734.1,AM-685-N21_AM-685-N21_contigs_SCGC_AM-685-N21_contig236_2,-,1.4e-15,42.8,0.5,1.1e-09,23.4,0.2,2.2,2,0,0,2,2,2,2,JCVI: phytoene desaturase family protein,AM-685-N21
